구분별,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,검역,전국거리두기,수도권거리두기,전체
2020. 09. 06,63,2,5,12,7,5,1,0,47,5,2,2,1,3,2,6,0,4,2,2.5,167
2020. 09. 07,48,9,2,1,9,5,3,0,31,0,0,3,1,0,0,3,0,4,2,2.5,119
2020. 09. 08,67,1,2,2,13,4,3,1,31,0,1,0,3,1,3,0,0,4,2,2.5,136
2020. 09. 09,49,2,2,1,17,8,4,2,55,0,1,8,1,1,0,1,0,4,2,2.5,156
2020. 09. 10,48,1,1,5,5,11,4,0,50,2,3,12,1,2,3,1,2,4,2,2.5,155
2020. 09. 11,63,3,1,8,8,11,5,0,47,0,1,14,0,2,2,0,2,9,2,2.5,176
2020. 09. 12,50,4,4,8,3,7,1,0,32,3,0,6,1,1,2,3,1,10,2,2.5,136
2020. 09. 13,31,3,14,3,3,2,7,0,32,1,0,11,2,0,2,3,0,7,2,2.5,121
2020. 09. 14,41,3,4,10,3,1,1,0,30,0,0,8,1,0,1,1,0,5,2,2,109
2020. 09. 15,32,4,0,9,1,3,0,0,39,1,2,3,1,0,1,2,3,5,2,2,106
2020. 09. 16,51,4,4,9,2,1,0,0,26,0,2,2,5,0,2,3,0,2,2,2,113
2020. 09. 17,63,2,2,7,1,2,0,0,54,0,0,10,0,1,6,3,0,2,2,2,153
2020. 09. 18,46,2,2,6,0,3,0,0,37,0,3,6,8,0,5,4,2,2,2,2,126
2020. 09. 19,40,2,2,11,0,2,0,0,41,0,1,4,1,0,4,1,0,1,2,2,110
2020. 09. 20,28,6,2,3,0,2,1,0,26,0,1,1,0,0,5,1,0,6,2,2,82
2020. 09. 21,23,8,1,2,1,2,0,0,18,0,2,0,0,0,1,2,0,10,2,2,70
2020. 09. 22,21,5,0,2,0,0,1,1,20,2,2,0,0,0,4,1,0,2,2,2,61
2020. 09. 23,40,7,3,5,2,0,2,0,30,1,2,5,1,0,6,0,0,6,2,2,110
2020. 09. 24,39,7,1,10,0,1,0,3,48,2,2,1,1,1,2,1,1,5,2,2,125
2020. 09. 25,57,3,0,3,2,0,0,1,27,1,3,1,3,0,6,1,0,6,2,2,114
2020. 09. 26,26,2,1,1,0,1,0,0,14,0,0,0,3,0,3,1,0,9,2,2,61
2020. 09. 27,34,3,0,9,2,0,0,1,21,0,2,2,2,1,6,1,0,11,2,2,95
2020. 09. 28,19,1,0,1,0,0,1,0,14,1,1,0,0,0,4,1,0,7,2,2,50
2020. 09. 29,11,3,0,0,0,0,0,0,10,0,1,2,0,0,2,0,0,9,2,2,38
2020. 09. 30,51,5,2,4,3,2,1,0,26,0,0,5,3,0,6,0,0,5,2,2,113
2020. 10. 01,30,6,1,3,0,0,0,0,21,0,1,3,0,1,5,0,0,6,2,2,77
2020. 10. 02,11,18,0,4,0,0,0,0,19,0,0,1,0,0,4,0,0,6,2,2,63
2020. 10. 03,26,8,0,7,0,2,0,0,10,0,1,1,1,3,2,0,0,14,2,2,75
2020. 10. 04,16,5,2,6,1,2,1,0,16,0,2,0,0,0,4,0,0,9,2,2,64
2020. 10. 05,19,5,1,5,0,1,4,1,27,0,1,2,3,0,1,1,0,2,2,2,73
2020. 10. 06,15,3,0,4,0,3,1,0,35,0,0,0,9,0,0,0,0,5,2,2,75
2020. 10. 07,33,2,1,6,0,2,1,1,53,0,0,0,8,0,0,0,0,7,2,2,114
2020. 10. 08,20,5,0,5,0,7,0,0,24,0,1,0,0,0,1,3,0,3,2,2,69
2020. 10. 09,22,5,1,0,0,5,0,0,12,0,1,0,0,1,0,1,0,6,2,2,54
2020. 10. 10,25,3,1,8,0,1,0,0,24,0,0,3,0,2,0,0,0,5,2,2,72
2020. 10. 11,23,3,1,1,0,2,1,0,21,2,0,1,0,0,0,0,0,3,2,2,58
2020. 10. 12,31,4,0,3,1,13,0,0,29,1,0,2,2,0,1,1,0,9,1,1,97
2020. 10. 13,20,1,1,0,2,10,0,0,38,4,1,2,1,0,1,0,0,21,1,1,102
2020. 10. 14,23,2,0,8,0,4,1,0,31,0,0,1,0,0,0,0,0,14,1,1,84
2020. 10. 15,25,55,0,11,0,1,0,0,8,1,1,0,1,0,1,0,0,6,1,1,110
2020. 10. 16,18,0,0,4,0,2,0,0,17,0,0,1,2,0,0,0,0,3,1,1,47
2020. 10. 17,18,6,1,2,1,0,0,0,32,3,0,2,0,1,0,2,0,5,1,1,73
2020. 10. 18,20,4,0,1,0,1,0,0,50,2,0,0,0,0,0,0,0,13,1,1,91
2020. 10. 19,14,15,0,5,2,2,0,0,18,1,1,2,1,0,2,1,0,12,1,1,76
2020. 10. 20,11,2,0,3,0,1,0,0,28,3,2,2,0,0,2,1,0,3,1,1,58
2020. 10. 21,17,10,0,6,1,4,1,0,24,2,1,0,0,1,2,0,0,22,1,1,91
2020. 10. 22,18,5,2,4,0,0,0,0,67,2,0,11,2,0,1,0,0,9,1,1,121
2020. 10. 23,20,0,5,5,6,0,0,0,103,1,0,4,2,1,0,0,0,8,1,1,155
2020. 10. 24,22,0,0,2,0,5,0,0,35,0,0,5,0,2,0,0,0,6,1,1,77
2020. 10. 25,17,1,1,0,0,1,1,0,27,0,0,2,0,0,0,2,0,9,1,1,61
2020. 10. 26,20,0,0,3,0,1,1,1,67,0,2,1,0,0,3,3,0,17,1,1,119
2020. 10. 27,24,1,0,2,0,5,0,0,35,6,1,1,0,3,0,5,0,5,1,1,88
2020. 10. 28,25,0,2,10,0,7,0,0,31,14,0,1,3,0,5,3,0,2,1,1,103
2020. 10. 29,36,0,3,5,2,0,2,0,58,7,0,1,1,0,1,0,0,9,1,1,125
2020. 10. 30,48,0,10,3,0,0,2,0,32,6,2,3,2,1,0,1,0,4,1,1,114
2020. 10. 31,52,2,9,3,0,0,0,3,27,0,0,5,0,0,0,1,0,25,1,1,127
2020. 11. 01,45,0,2,4,3,0,0,0,38,3,1,9,0,3,0,2,0,14,1,1,124
2020. 11. 02,25,0,3,2,0,0,1,0,41,1,2,11,0,2,1,1,0,7,1,1,97
2020. 11. 03,22,1,0,1,2,0,0,0,27,1,1,7,0,0,0,1,0,12,1,1,75
2020. 11. 04,42,1,2,4,0,1,1,0,43,0,0,10,0,0,2,0,1,11,1,1,118
2020. 11. 05,50,4,2,5,0,0,0,0,27,1,2,23,0,0,0,5,0,6,1,1,125
2020. 11. 06,40,0,0,0,0,0,0,0,47,7,0,25,1,0,1,13,0,11,1,1,145
2020. 11. 07,37,2,1,1,0,1,0,0,21,4,0,9,0,0,0,5,0,8,1,1,89
2020. 11. 08,54,0,7,3,2,1,1,0,25,9,2,9,0,4,2,10,0,14,1,1,143
2020. 11. 09,46,2,6,2,1,0,0,0,22,11,4,10,4,2,1,4,0,11,1,1,126
2020. 11. 10,35,1,1,3,5,0,0,0,33,3,2,4,0,2,1,2,0,8,1,1,100
2020. 11. 11,45,3,0,1,4,1,0,0,53,9,2,7,1,1,0,11,0,8,1,1,146
2020. 11. 12,53,2,3,2,6,2,1,0,35,6,1,9,0,8,1,4,1,9,1,1,143
2020. 11. 13,74,0,1,4,5,0,0,1,47,23,1,8,0,9,0,3,1,14,1,1,191
2020. 11. 14,69,4,0,1,8,2,0,1,49,18,0,11,4,13,0,4,0,21,1,1,205
2020. 11. 15,85,0,1,2,9,0,0,0,45,19,8,5,2,9,2,3,0,18,1,1,208
2020. 11. 16,81,0,0,10,4,3,0,1,42,20,3,6,1,10,14,4,1,23,1,1,223
2020. 11. 17,90,0,3,13,18,1,0,1,52,13,0,9,0,16,3,3,0,8,1,1,230
2020. 11. 18,92,5,2,12,9,1,3,0,87,5,0,7,0,15,16,9,0,50,1,1,313
2020. 11. 19,109,5,2,12,8,1,0,0,64,20,4,13,2,28,8,28,0,39,1,1.5,343
2020. 11. 20,132,2,1,30,4,0,0,0,73,24,2,15,13,14,10,18,2,23,1,1.5,363
2020. 11. 21,156,7,1,22,7,1,1,0,93,15,1,21,14,19,8,11,0,9,1,1.5,383
2020. 11. 22,121,1,1,27,8,0,1,0,75,13,0,13,12,13,6,19,0,20,1,1.5,330
2020. 11. 23,112,5,2,23,1,3,1,1,76,12,0,9,9,5,4,2,1,5,1,1.5,271
2020. 11. 24,133,6,3,17,3,0,2,2,81,46,3,8,15,7,9,3,1,10,1,2,349
